"Store_Name","Longitude","Latitude","Address","Address Line #2","City","State","Zip5","Zip4","County"
"Yonkers African Variety Market","-73.897873","40.934517","17 N Broadway","","Yonkers","NY","10701","2703","WESTCHESTER"
"LOS FERNANDEZ LLC","-74.010597","40.644779","5013 5th Ave","","Brooklyn","NY","11220","1908","KINGS"
"Martini's Shurfine","-76.976776","42.5238","11 Water St","","Dundee","NY","14837","1018","YATES"
"Soloman Brothers Food Mart","-76.114738","43.048157","2000 E Fayette St","","Syracuse","NY","13224","1015","ONONDAGA"
"TEARADHAN CONVENIENT STORE INC","-73.980499","40.716709","49 Columbia St","","New York","NY","10002","2796","NEW YORK"
"LAZARO DELI GROCERY, INC","-73.667625","40.994003","71 Midland Ave","","Port Chester","NY","10573","4908","WESTCHESTER"
"Mohawk Harvest Cooperative Market","-74.344719","43.051834","51 N Main St","","Gloversville","NY","12078","3006","FULTON"
"U.S. Grocery Deli Corp","-73.906693","40.753342","5403 Northern Blvd","","Woodside","NY","11377","1932","QUEENS"
"Rosibella Deli Grocery","-74.138931","40.63113","470 Port Richmond Ave","","Staten Island","NY","10302","1718","RICHMOND"
"Khaim's Kosher Meat Store Inc","-73.862869","40.72924","6360 Saunders St","","Rego Park","NY","11374","2031","QUEENS"
"Wagnar Deli & Grocery Inc","-73.934326","40.801769","2409 2nd Ave","","New York","NY","10035","2118","NEW YORK"
"H & A Convenience","-73.898903","40.882896","3656 Bailey Ave","","Bronx","NY","10463","4253","BRONX"
"E & T 15th Avenue Corp","-73.984535","40.635464","4312 15th Ave","","Brooklyn","NY","11219","1601","KINGS"
"Deli Supreme","-73.963509","41.527954","1485 Route 9D","B9","Wappingers Falls","NY","12590","4127","DUTCHESS"
"MI PAIS SUPERMARKET INC","-73.954712","40.820854","3361 Broadway","","New York","NY","10031","7403","NEW YORK"
"Chocolate King Corp DBA Chocolicious","-73.96125","40.707569","175 Division Ave","","Brooklyn","NY","11211","7257","KINGS"
"MARMOL DELI INC","-73.401054","40.683979","2225 Great Neck Rd","","Copiague","NY","11726","2116","SUFFOLK"
"Hua Hua Market Inc","-73.992439","40.717758","284 Grand St","","New York","NY","10002","4402","NEW YORK"
"CROPSEY INTERNATIONAL INC","-73.98745","40.5854","2847 Cropsey Ave","","Brooklyn","NY","11214","7214","KINGS"
"NUMBER 1 CONVENIENT","-76.143333","43.064045","1000 Butternut St","","Syracuse","NY","13208","2834","ONONDAGA"
"Cold Cut House Inc","-73.942429","40.790749","2067 2nd Ave","","New York","NY","10029","4101","NEW YORK"
"Humadi Deli Corp","-73.944115","40.80949","354 Malcolm X Blvd","","New York","NY","10027","1861","NEW YORK"
"Health & Harmony Inc","-74.006516","40.73188","470 Hudson St","","New York","NY","10014","2867","NEW YORK"
"The Corner Store","-73.774261","42.667866","106 Ontario St","","Albany","NY","12206","2435","ALBANY"
"Steffie Market, Corp","-73.859055","40.744644","4812 104th St","","Corona","NY","11368","2809","QUEENS"
"NEW YORK PRESBYTERIAN DELI/GROCERY, CORP.","-73.938217","40.838039","2119 Amsterdam Ave","","New York","NY","10032","2515","NEW YORK"
"Prospect Deli & Grocery Corp","-73.882645","40.85368","2400 Prospect Ave","","Bronx","NY","10458","6481","BRONX"
"Corner Stop Mini Mart Inc","-73.946846","40.599907","2423 Avenue U","","Brooklyn","NY","11229","4905","KINGS"
"Rite Aid 1947","-73.91571","40.685703","960 Halsey St","","Brooklyn","NY","11233","1403","KINGS"
"Rite Aid 3864","-73.938301","40.651321","4102 Church Ave","","Brooklyn","NY","11203","3006","KINGS"
"Rite Aid 4864","-73.992279","40.694202","168 Montague St","","Brooklyn","NY","11201","3615","KINGS"
"KSY Mini Market","-73.964264","40.802532","996 Amsterdam Ave","","New York","NY","10025","2231","NEW YORK"
"Kai Fong Inc","-74.008186","40.636833","5716 8th Ave","","Brooklyn","NY","11220","3913","KINGS"
"Alex's Food market","-76.141312","43.061161","514 Highland St","","Syracuse","NY","13203","1513","ONONDAGA"
"chiffon's kosher cake center","-73.971573","40.608917","430 Avenue P","","Brooklyn","NY","11223","1935","KINGS"
"Rockaway Food Mart Inc.","-73.836845","40.579418","186 Beach 116th St","","Rockaway Park","NY","11694","2410","QUEENS"
"Rite Aid 4893","-73.920837","40.678768","1950 Fulton St","Ste 1","Brooklyn","NY","11233","3198","KINGS"
"Rite Aid 10571","-73.992355","40.689846","120 Court St","","Brooklyn","NY","11201","5607","KINGS"
"Rite Aid 4269","-74.019508","40.639622","6201 4th Ave","","Brooklyn","NY","11220","4615","KINGS"
"Rite Aid 10574","-74.026917","40.633713","7118 3rd Ave","","Brooklyn","NY","11209","1309","KINGS"
"Rite Aid 10579","-74.008598","40.630997","6423 Fort Hamilton Pkwy","","Brooklyn","NY","11219","5520","KINGS"
"Rite Aid 10583","-74.004486","40.623051","7009 13th Ave","","Brooklyn","NY","11228","1603","KINGS"
"S. KAHAN GROCERY INC","-73.956253","40.705307","268 Marcy Ave","","Brooklyn","NY","11211","7921","KINGS"
"Rite Aid 4738","-73.912872","40.669407","1631 Pitkin Ave","","Brooklyn","NY","11212","5050","KINGS"
"7-Eleven #11192D","-73.24424","40.88435","200 Route 25a","","Kings Park","NY","11754","3898","SUFFOLK"
"7-Eleven #23367B","-72.978355","40.782276","145 Hospital Rd","","East Patchogue","NY","11772","4843","SUFFOLK"
"7-Eleven #33189A","-73.203201","40.856506","221 W Main St","","Smithtown","NY","11787","2606","SUFFOLK"
"Rite Aid 3816","-74.028908","40.628677","7821 3rd Ave","","Brooklyn","NY","11209","3605","KINGS"
"WEINBERGER FRUIT VEGETABLE STORE","-73.960915","40.706623","37 Lee Ave","","Brooklyn","NY","11211","7580","KINGS"
"Garulita Deli Corp","-73.878761","40.844978","980 Bronx Park S","","Bronx","NY","10460","1624","BRONX"
"Rite Aid 10606","-73.839462","40.657013","16010 Crossbay Blvd","Ste 1","Howard Beach","NY","11414","3423","QUEENS"
"Rite Aid 10607","-73.842758","40.689751","10230 Atlantic Ave","","Ozone Park","NY","11416","1739","QUEENS"
"Rite Aid 04782","-73.952942","40.727425","783 Manhattan Ave","","Brooklyn","NY","11222","2710","KINGS"
"Rite Aid 04852","-73.842644","40.719292","7114 Austin St","","Forest Hills","NY","11375","4721","QUEENS"
"Rite Aid 10580","-73.952118","40.726055","723 Manhattan Ave","","Brooklyn","NY","11222","2909","KINGS"
"Rite Aid 10599","-73.83802","40.718567","11088 Queens Blvd","","Forest Hills","NY","11375","6345","QUEENS"
"Rite Aid 10604","-73.897522","40.700481","6036 Myrtle Ave","","Ridgewood","NY","11385","5932","QUEENS"
"Rite Aid 10605","-73.906212","40.708942","583 Grandview Ave","","Ridgewood","NY","11385","2453","QUEENS"
